"win","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","inhibitorKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist"
FALSE,2,8,3,0,1,0,667,0,0,0,0,0,51546,2604,44304,4637,0,9467,841,6694,1932,4501,1,0,0,0,0,0,18613,4444,13771,397,5922,5250,0,0,31,24,24,0,141,10,0,0,2,0,FALSE,FALSE,FALSE,FALSE,NA,NA
FALSE,6,6,0,3,1,2,572,0,0,0,0,0,43238,27226,14600,1412,0,10522,6529,3573,420,1915,2,4833,1986,0,7,0,13591,4553,8648,389,5746,4750,0,0,58,1,1,0,66,10,0,0,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,7,16,20,3,1,1,485,0,0,0,0,0,155077,32912,119414,2750,0,42773,11529,28718,2526,29729,1,0,0,0,0,0,66196,23431,40242,2523,14997,13710,2,0,98,12,9,3,518,18,0,0,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,8,13,7,4,2,2,337,2,0,0,0,0,114971,16283,98581,106,526,21990,5688,16195,106,2539,5,0,0,0,0,0,26915,5869,20785,260,11323,10900,0,0,141,3,3,0,228,15,0,0,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,5,10,4,3,2,2,303,1,0,0,0,0,65316,0,53194,12121,318,9514,0,8165,1349,1814,2,6105,1254,1254,10,8,15383,3396,11610,376,8264,8100,1,0,91,4,4,0,240,12,0,0,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,6,8,9,3,1,2,644,0,0,0,0,0,69331,39670,25608,4052,12,13953,9215,3923,814,1952,1,37570,2374,1183,12,35,21809,5371,15443,994,8438,8100,0,0,47,35,32,0,650,12,0,0,8,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRUE,7,8,9,2,1,2,379,0,0,0,0,0,134235,16314,110091,7830,0,24585,4197,18787,1600,19293,1,0,0,0,0,0,34392,6894,25492,2005,13381,11775,2,0,71,39,23,16,246,16,0,0,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
FALSE,11,15,6,2,1,1,227,0,0,0,0,0,112921,5241,103322,4358,473,25310,2600,19472,3238,6775,1,22241,2626,106,11,5,36843,24651,12117,74,16337,17600,0,0,117,13,5,0,51,18,0,0,9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,7,17,8,3,1,1,384,0,0,0,0,0,102663,82871,19243,548,0,35930,32023,3406,500,3354,1,0,0,0,0,0,44392,31559,12284,549,17035,14635,0,0,60,0,0,0,333,18,0,0,8,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,6,15,14,0,1,0,575,0,0,0,0,0,104983,97261,6943,778,587,33284,31061,1515,708,2437,1,0,0,0,0,0,33108,18040,14196,871,14035,13570,0,0,83,4,4,0,307,16,0,0,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,3,5,0,2,1,1,654,0,0,0,0,0,71034,52847,18117,70,0,8331,7715,615,0,141,1,0,0,0,0,0,9917,2515,6352,1050,7973,6770,1,0,123,0,0,0,118,12,0,0,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,20,6,11,5,2,5,1130,5,0,0,0,0,126451,43794,75389,7266,0,36181,18811,15914,1456,7166,1,0,0,0,0,0,42087,18290,22272,1524,15628,14250,2,0,29,38,29,9,148,16,0,0,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,9,13,6,2,1,1,207,0,0,0,0,0,27205,12537,13888,780,0,12630,6565,5285,780,710,1,0,0,0,0,0,26396,14777,11080,538,9813,8650,0,1,19,0,NA,NA,65,17,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
